semnatic_similarity_with_src,sentiment_analysis_with_src,sentiment_analysis_with_tgt,sentence_entropy,semnatic_similarity_with_tgt,rouge_score_with_tgt,bleu_score_with_tgt,jaccard_similarity_score_with_tgt,dice_similarity_score_with_tgt,bert-score,summary_score
0.24878563,1,1,3.373557262,0.568958104,"{'rouge-1': {'r': 0.42857142857142855, 'p': 0.5454545454545454, 'f': 0.479999995072}, 'rouge-2': {'r': 0.2222222222222222, 'p': 0.3076923076923077, 'f': 0.2580645112591052}, 'rouge-l': {'r': 0.42857142857142855, 'p': 0.5454545454545454, 'f': 0.479999995072}}",0.343679694,0.3,0.461538462,0.592921495,0.232456282
0.322195351,1,1,2.584962501,0.895916581,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-2': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}}",0.60036012,0.5,0.666666667,0.867660165,0.245901838
0.270106107,0,0,2.855388542,0.456245303,"{'rouge-1': {'r': 0.5, 'p': 0.2857142857142857, 'f': 0.36363635900826446}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.5, 'p': 0.2857142857142857, 'f': 0.36363635900826446}}",0.086858065,0.3,0.461538462,0.645480812,0.226518467
0.576257646,1,0,3.459431619,0.403309643,"{'rouge-1': {'r': 0.25, 'p': 0.1, 'f': 0.14285713877551035}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.25, 'p': 0.1, 'f': 0.14285713877551035}}",0.125184355,0.142857143,0.25,0.542949855,0.237501815
0.647707641,0,0,2,0.4777174,"{'rouge-1': {'r': 0.1, 'p': 0.3333333333333333, 'f': 0.15384615029585808}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1, 'p': 0.3333333333333333, 'f': 0.15384615029585808}}",0.029791537,0.153846154,0.266666667,0.459435165,0.736208141
0.620390773,0,1,2.584962501,0.893297911,"{'rouge-1': {'r': 0.42857142857142855, 'p': 0.6, 'f': 0.499999995138889}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.2857142857142857, 'p': 0.4, 'f': 0.33333332847222225}}",0.342424514,0.4,0.571428571,0.76744777,0.297373801
0.220432624,0,1,2.251629167,0.412085384,"{'rouge-1': {'r': 0.1111111111111111, 'p': 0.25, 'f': 0.15384614958579892}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1111111111111111, 'p': 0.25, 'f': 0.15384614958579892}}",2.90E-78,0.153846154,0.266666667,0.490601063,0.208007544
0.288977951,0,1,2.321928095,0.6399073,"{'rouge-1': {'r': 0.18181818181818182, 'p': 0.5, 'f': 0.26666666275555556}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.18181818181818182, 'p': 0.5, 'f': 0.26666666275555556}}",0.120484375,0.214285714,0.352941176,0.672313631,0.245901838
0.092414483,0,1,2.721928095,0.854683816,"{'rouge-1': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}, 'rouge-2': {'r': 0.2, 'p': 0.16666666666666666, 'f': 0.18181817685950424}, 'rouge-l': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}}",0.426295384,0.4,0.571428571,0.689838052,0.254246801
0.388221174,0,1,2.807354922,0.347415388,"{'rouge-1': {'r': 0.14285714285714285, 'p': 0.16666666666666666, 'f': 0.1538461488757398}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.14285714285714285, 'p': 0.16666666666666666, 'f': 0.1538461488757398}}",0.100966915,0.153846154,0.266666667,0.552481532,0.237501815
0.387093902,1,0,2.721928095,0.690208554,"{'rouge-1': {'r': 0.3125, 'p': 0.8333333333333334, 'f': 0.4545454505785124}, 'rouge-2': {'r': 0.05555555555555555, 'p': 0.16666666666666666, 'f': 0.0833333295833335}, 'rouge-l': {'r': 0.25, 'p': 0.6666666666666666, 'f': 0.3636363596694215}}",0.268838263,0.333333333,0.5,0.609166086,0.229301497
0.384112537,0,1,3.969815782,0.442048728,"{'rouge-1': {'r': 0.17857142857142858, 'p': 0.3125, 'f': 0.2272727226446282}, 'rouge-2': {'r': 0.029411764705882353, 'p': 0.0625, 'f': 0.03999999564800047}, 'rouge-l': {'r': 0.14285714285714285, 'p': 0.25, 'f': 0.18181817719008275}}",0.123639008,0.125,0.222222222,0.516043723,0.236105934
0.413294911,1,1,2.807354922,0.663162947,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",0.240671966,0,0,0.46451205,0.237501815
0.32297641,0,0,1.891995487,0.243920639,"{'rouge-1': {'r': 0.09523809523809523, 'p': 0.4, 'f': 0.15384615073964505}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.09523809523809523, 'p': 0.4, 'f': 0.15384615073964505}}",0.02136832,0.08,0.148148148,0.364400715,0.225686774
0.616885543,0,1,3.75,0.795179725,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.23076923076923078, 'f': 0.2727272678925621}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.23076923076923078, 'f': 0.2727272678925621}}",0.224645736,0.2,0.333333333,0.587614775,0.208007544
