semnatic_similarity_with_src,sentiment_analysis_with_src,sentence_entropy,bert-score,summary_score
0.903212249,0,4,0.885941386,0.919477642
0.847345948,0,2.584962501,0.739543021,0.349634767
0.628078699,0,2.725480557,0.676954269,0.556236327
0.737393141,1,2.921928095,0.662394881,0.599668324
0.795659959,1,3.169925001,0.702878773,0.601856232
0.751168847,1,4.05881389,0.816827297,0.767383695
0.805268049,0,3.459431619,0.647740364,0.767383695
0.756672204,1,3,0.652793646,0.221532077
0.914429426,1,4.106603137,0.82109952,0.869520366
0.846021533,1,3,0.694312751,0.601856232
0.742253423,0,3,0.752164721,0.405639619
0.674587131,0,2.584962501,0.637614548,0.221532077
0.845280826,1,3.169925001,0.832017958,0.767383695
0.761278331,0,3.084962501,0.563197434,0.221532077
0.897391558,1,2.807354922,0.696745515,0.869520366
0.908721864,1,2.584962501,0.788893461,0.767383695
0.789556563,1,2.521640636,0.605026782,0.221532077
0.868895829,1,3.459431619,0.774284661,0.869520366
0.873247921,0,3.700439718,0.744796097,0.869520366
0.834329545,1,3.546593564,0.748170316,0.269727528
0.881738305,0,2.584962501,0.702722251,0.599668324
0.37986663,0,3.459431619,0.683280408,0.200108826
0.184047297,0,0.250879691,0.139162675,0.22024557
0.743966162,1,3.321928095,0.657456636,0.204765752
0.96850431,0,3.459431619,0.864638627,0.869520366
0.839442432,1,4.297079328,0.741470098,0.213728592
0.954953551,1,3.807354922,0.845409453,0.869520366
0.879791498,0,4.087462841,0.901399851,0.869520366
0.78198117,1,2.321928095,0.76440531,0.526093841
0.771582127,0,3,0.679390848,0.221532077
0.692886353,1,2.584962501,0.775714934,0.592324436
0.944529593,1,3.459431619,0.786234617,0.869520366
0.826757014,1,3.169925001,0.772692859,0.869520366
0.902536273,0,2.584962501,0.783683896,0.869520366
0.803263962,1,3.169925001,0.717926562,0.599668324
0.788794398,1,2.321928095,0.65912348,0.352907121
0.771262825,1,3,0.681758821,0.599668324
0.890482843,0,3.169925001,0.767303169,0.767383695
0.79852128,0,3.459431619,0.708322108,0.269727528
0.88093251,1,3.277613437,0.709933579,0.526093841
0.822442949,0,3.169925001,0.752251625,0.767383695
0.882436931,0,2.584962501,0.831706345,0.869520366
0.829184592,0,3.459431619,0.767994285,0.364498526
0.860732794,0,3.640223929,0.794404209,0.599668324
0.897233546,1,2.725480557,0.743309796,0.767383695
0.841498911,1,3.584962501,0.735933661,0.599668324
0.875646412,1,3.584962501,0.699139774,0.869520366
0.91019392,1,3.418295834,0.770619035,0.869520366
0.785475433,1,3.584962501,0.67355442,0.592324436
0.921737432,1,3.584962501,0.76292479,0.869520366
0.839324415,1,3.321928095,0.705844402,0.869520366
0.599283814,0,3.277613437,0.548214197,0.464122891
0.94883889,1,2.75,0.728296757,0.601856232
0.894852757,0,3.321928095,0.731472194,0.767383695
0.573403478,1,3.169925001,0.68696022,0.767383695
0.659682333,1,3.584962501,0.655393124,0.405639619
0.873684585,0,3.169925001,0.73477149,0.599668324
0.760921896,1,2.947702779,0.794257164,0.767383695
0.772354126,0,3.121928095,0.717861772,0.767383695
0.731452107,0,3.169925001,0.78232038,0.556236327
0.90612042,1,2.584962501,0.729897261,0.869520366
0.917728841,1,2.521640636,0.74740237,0.767383695
0.858875275,1,3.169925001,0.680460334,0.352907121
0.700127482,0,2,0.648296416,0.213728592
0.980820715,0,3.664497779,0.889286816,0.919477642
0.908147812,1,2.584962501,0.816333652,0.599668324
0.731943071,0,3.169925001,0.63402766,0.221532077
0.715970337,0,2.521640636,0.633611202,0.405639619
0.808292568,1,3.321928095,0.620783865,0.601856232
0.771034658,1,3.734521665,0.73504287,0.869520366
0.802443981,0,3,0.614389837,0.202781677
0.877813876,0,3.251629167,0.741179466,0.599668324
0.809281468,1,3.321928095,0.742164314,0.592324436
0.917172611,1,3.773557262,0.790766299,0.869520366
0.576005578,0,3.321928095,0.650031865,0.221532077
0.926540554,1,3.584962501,0.837426543,0.919477642
0.836240768,1,3.321928095,0.747205377,0.869520366
0.815612257,1,2.584962501,0.759195209,0.592324436
0.864405274,1,3,0.820968151,0.221532077
0.812126815,1,3.169925001,0.712662339,0.869520366
0.811790049,1,3.584962501,0.668836415,0.869520366
0.893618584,0,4.037401198,0.800035179,0.919477642
0.914355338,1,2.584962501,0.828903556,0.869520366
0.79727751,0,2,0.695301175,0.592324436
