comet,ter,semnatic_similarity_with_src,sentiment_analysis_with_src,sentiment_analysis_with_tgt,sentence_entropy,semnatic_similarity_with_tgt,rouge_score_with_tgt,bleu_score_with_tgt,jaccard_similarity_score_with_tgt,dice_similarity_score_with_tgt,bert-score
1.109775424,0.166666667,0.995813549,0,0,2.584962501,0.9837953,"{'rouge-1': {'r': 0.8571428571428571, 'p': 1.0, 'f': 0.9230769181065088}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.8, 'f': 0.7272727223140496}, 'rouge-l': {'r': 0.8571428571428571, 'p': 1.0, 'f': 0.9230769181065088}}",0.863589452,0.857142857,0.923076923,0.920487165
0.628558576,0.25,0.948329389,1,1,2,0.72094864,"{'rouge-1': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.806500859,0.6,0.75,0.923878372
-0.152009338,0.5,0.827262402,1,1,2,0.8263143,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.5, 'f': 0.5714285665306124}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.5, 'f': 0.5714285665306124}}",0.678887766,0.4,0.571428571,0.63560003
-0.336090416,0.75,0.577968538,1,1,2,0.45227462,"{'rouge-1': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}}",0.356683768,0.142857143,0.25,0.711048067
0.461791813,1.142857143,0.947194755,0,1,2.807354922,0.9206304,"{'rouge-1': {'r': 0.4444444444444444, 'p': 0.5714285714285714, 'f': 0.4999999950781251}, 'rouge-2': {'r': 0.1111111111111111, 'p': 0.16666666666666666, 'f': 0.1333333285333335}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.42857142857142855, 'f': 0.37499999507812504}}",0.401380032,0.142857143,0.25,0.754118741
1.005219698,1.333333333,0.995281756,0,1,1.584962501,0.96013665,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}}",0.423356126,0.285714286,0.444444444,0.796459258
1.147124171,0.25,0.983942807,1,0,2,0.844115,"{'rouge-1': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.3333333333333333, 'f': 0.3333333283333334}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.791261986,0.6,0.75,0.940560102
-0.093785413,0.75,0.871026874,1,1,2,0.7745732,"{'rouge-1': {'r': 0.4, 'p': 0.5, 'f': 0.4444444395061729}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.4, 'p': 0.5, 'f': 0.4444444395061729}}",0.54845272,0.285714286,0.444444444,0.784178197
0.764439464,0.571428571,0.983757377,0,1,2.807354922,0.87914306,"{'rouge-1': {'r': 0.5, 'p': 0.5714285714285714, 'f': 0.5333333283555556}, 'rouge-2': {'r': 0.2857142857142857, 'p': 0.3333333333333333, 'f': 0.3076923027218935}, 'rouge-l': {'r': 0.5, 'p': 0.5714285714285714, 'f': 0.5333333283555556}}",0.480001328,0.363636364,0.533333333,0.810137749
1.121762037,0.142857143,0.988774776,0,1,2.807354922,0.9744291,"{'rouge-1': {'r': 0.8571428571428571, 'p': 0.8571428571428571, 'f': 0.8571428521428571}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-l': {'r': 0.8571428571428571, 'p': 0.8571428571428571, 'f': 0.8571428521428571}}",0.790271157,0.75,0.857142857,0.968120873
