semnatic_similarity_with_src,sentiment_analysis_with_src,sentiment_analysis_with_tgt,sentence_entropy,semnatic_similarity_with_tgt,rouge_score_with_tgt,bleu_score_with_tgt,jaccard_similarity_score_with_tgt,dice_similarity_score_with_tgt,bert-score,summary_score
0.322288841,0,1,2.321928095,0.22425386,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",1.96E-78,0,0,0.417666912,0.22024557
0.326885402,1,1,1.584962501,0.4589849,"{'rouge-1': {'r': 0.1111111111111111, 'p': 0.3333333333333333, 'f': 0.16666666291666676}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1111111111111111, 'p': 0.3333333333333333, 'f': 0.16666666291666676}}",0.047397357,0.090909091,0.166666667,0.626102448,0.227830932
0.129024029,0,1,1.584962501,0.5831287,"{'rouge-1': {'r': 0.14285714285714285, 'p': 0.6666666666666666, 'f': 0.23529411474048442}, 'rouge-2': {'r': 0.07142857142857142, 'p': 0.5, 'f': 0.12499999781250003}, 'rouge-l': {'r': 0.14285714285714285, 'p': 0.6666666666666666, 'f': 0.23529411474048442}}",0.042439449,0.133333333,0.235294118,0.588426769,0.221532077
0.40950048,0,0,2.321928095,0.8511183,"{'rouge-1': {'r': 0.625, 'p': 1.0, 'f': 0.7692307644970415}, 'rouge-2': {'r': 0.42857142857142855, 'p': 0.75, 'f': 0.5454545408264463}, 'rouge-l': {'r': 0.625, 'p': 1.0, 'f': 0.7692307644970415}}",0.525834678,0.625,0.769230769,0.727926493,0.213728592
0.083148129,0,1,2.321928095,0.5119928,"{'rouge-1': {'r': 0.75, 'p': 0.6, 'f': 0.6666666617283951}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.25, 'f': 0.2857142808163266}, 'rouge-l': {'r': 0.75, 'p': 0.6, 'f': 0.6666666617283951}}",0.35363976,0.5,0.666666667,0.604430318,0.201786727
0.298138231,0,0,1.584962501,0.43087667,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",0.096241933,0,0,0.572689474,0.221532077
0.434984565,0,1,2.321928095,0.8184576,"{'rouge-1': {'r': 0.2857142857142857, 'p': 0.4, 'f': 0.33333332847222225}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.2857142857142857, 'p': 0.4, 'f': 0.33333332847222225}}",0.347792156,0.2,0.333333333,0.73475194,0.221532077
0.316831768,0,0,3.321928095,0.29960185,"{'rouge-1': {'r': 0.25, 'p': 0.1, 'f': 0.14285713877551035}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.25, 'p': 0.1, 'f': 0.14285713877551035}}",0.278809261,0.076923077,0.142857143,0.651414394,0.213728592
0.199078977,1,0,2.584962501,0.2331836,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",0.305443222,0,0,0.630221844,0.221532077
0.570150554,1,0,2.584962501,0.33018106,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",2.51E-78,0,0,0.394499779,0.221532077
