comet,ter,semnatic_similarity_with_src,sentiment_analysis_with_src,sentiment_analysis_with_tgt,sentence_entropy,semnatic_similarity_with_tgt,rouge_score_with_tgt,bleu_score_with_tgt,jaccard_similarity_score_with_tgt,dice_similarity_score_with_tgt,bert-score
1.068148375,0.4,0.662396193,0,0,3.906890596,0.966765046,"{'rouge-1': {'r': 0.5384615384615384, 'p': 0.4666666666666667, 'f': 0.4999999950255103}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.2857142857142857, 'f': 0.3076923027218935}, 'rouge-l': {'r': 0.5384615384615384, 'p': 0.4666666666666667, 'f': 0.4999999950255103}}",0.661346069,0.333333333,0.5,0.902709723
0.72583729,0.428571429,0.296728551,0,0,3.546593564,0.682399333,"{'rouge-1': {'r': 0.2631578947368421, 'p': 0.4166666666666667, 'f': 0.32258064041623313}, 'rouge-2': {'r': 0.047619047619047616, 'p': 0.08333333333333333, 'f': 0.060606055977961794}, 'rouge-l': {'r': 0.15789473684210525, 'p': 0.25, 'f': 0.19354838235171706}}",0.383014989,0.192307692,0.322580645,0.662508845
0.666965544,0.75,0.795063972,1,1,4.106603137,0.932421148,"{'rouge-1': {'r': 0.7894736842105263, 'p': 0.8333333333333334, 'f': 0.8108108058144633}, 'rouge-2': {'r': 0.6190476190476191, 'p': 0.65, 'f': 0.6341463364663892}, 'rouge-l': {'r': 0.631578947368421, 'p': 0.6666666666666666, 'f': 0.648648643652301}}",0.749323132,0.541666667,0.702702703,0.860836148
-0.211824849,2,0.063512921,0,0,4.530057719,0.417872667,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.28, 'f': 0.3043478211247638}, 'rouge-2': {'r': 0.043478260869565216, 'p': 0.03571428571428571, 'f': 0.03921568132256887}, 'rouge-l': {'r': 0.2857142857142857, 'p': 0.24, 'f': 0.26086956025519853}}",0.560723087,0.179487179,0.304347826,0.691175997
0.881658912,0.428571429,0.796329081,1,0,3.321928095,0.606394887,"{'rouge-1': {'r': 0.45454545454545453, 'p': 0.5, 'f': 0.47619047120181407}, 'rouge-2': {'r': 0.2727272727272727, 'p': 0.3333333333333333, 'f': 0.2999999950500001}, 'rouge-l': {'r': 0.45454545454545453, 'p': 0.5, 'f': 0.47619047120181407}}",0.486142425,0.3125,0.476190476,0.622376502
0.849340141,0.285714286,0.75756526,0,1,3.546593564,0.940112233,"{'rouge-1': {'r': 0.8333333333333334, 'p': 0.8333333333333334, 'f': 0.8333333283333335}, 'rouge-2': {'r': 0.5384615384615384, 'p': 0.5833333333333334, 'f': 0.559999995008}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.775022854,0.666666667,0.8,0.840750456
0.121969305,1,0.162221134,0,1,4.875,0.829871416,"{'rouge-1': {'r': 0.7407407407407407, 'p': 0.6666666666666666, 'f': 0.7017543809787627}, 'rouge-2': {'r': 0.5172413793103449, 'p': 0.4838709677419355, 'f': 0.49999999500555575}, 'rouge-l': {'r': 0.7037037037037037, 'p': 0.6333333333333333, 'f': 0.6666666616805171}}",0.747284082,0.540540541,0.701754386,0.838031471
1.017611623,0,0.905612767,0,1,3.906890596,0.828220367,"{'rouge-1': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}, 'rouge-2': {'r': 0.14285714285714285, 'p': 0.14285714285714285, 'f': 0.14285713785714302}, 'rouge-l': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}}",0.59821111,0.25,0.4,0.81016624
1.265753746,0,0.181103706,1,0,4.773557262,0.749105394,"{'rouge-1': {'r': 0.4642857142857143, 'p': 0.4642857142857143, 'f': 0.46428570928571433}, 'rouge-2': {'r': 0.21428571428571427, 'p': 0.20689655172413793, 'f': 0.21052631079101272}, 'rouge-l': {'r': 0.42857142857142855, 'p': 0.42857142857142855, 'f': 0.4285714235714286}}",0.581881741,0.302325581,0.464285714,0.781128407
1.000339866,0.166666667,0.466723025,1,1,3.121928095,0.868060052,"{'rouge-1': {'r': 0.5, 'p': 0.4444444444444444, 'f': 0.4705882303114187}, 'rouge-2': {'r': 0.25, 'p': 0.2222222222222222, 'f': 0.23529411266435996}, 'rouge-l': {'r': 0.5, 'p': 0.4444444444444444, 'f': 0.4705882303114187}}",0.609020752,0.307692308,0.470588235,0.865394056
